ENL,ESL,Gender,Speaker,Team,Team Points,Speaker Points,AVG,#1,#2,#3,#4,#5,#6,#7,#8,#9
238,,Undefined,Joey Schnide,GWU B,16,700,77.8,74,77,77,77,78,79,78,78,82
238,,Undefined,Catherine Prasifka,TCD Hist A,15,700,77.8,77,75,77,78,76,81,80,79,77
238,,Undefined,Stepan Lavrouk,TCD Phil A,14,700,77.8,82,78,77,77,76,76,78,79,77
238,,Undefined,Christopher Costigan,TCD Phil A,14,700,77.8,85,78,77,78,76,77,76,78,75
238,,Undefined,Laura Hogan,UCD LawSoc B,15,700,77.8,78,80,78,76,75,76,77,77,83
253,36,Undefined,Revaldi Nathanael Wirabuana,Indonesia A,15,699,77.7,79,77,74,81,77,77,77,80,77
253,,Undefined,Caroline Li,UBC A,15,699,77.7,80,75,76,79,77,74,78,78,82
253,,Undefined,Neil du Toit,USDV B,16,699,77.7,76,78,75,77,80,78,75,79,81
253,,Undefined,James Ward,McGill C,15,699,77.7,76,77,78,78,75,75,79,79,82
253,,Undefined,Reca Sarfati,Brown B,14,699,77.7,76,75,76,81,77,80,77,80,77
253,36,Undefined,Jang Seokwoo,YUU A,18,699,77.7,74,80,76,76,77,76,79,81,80
253,,Undefined,Beckie Thomas,St Andrews A,13,699,77.7,78,82,78,75,77,81,75,76,77
253,,Undefined,Colin Wu,NUS A,15,699,77.7,78,81,77,79,77,72,79,80,76
253,36,Undefined,Sooyoung Park,YUU A,18,699,77.7,75,76,76,76,78,77,80,78,83
262,,Undefined,Jack Kennedy,TCD Hist B,14,698,77.6,82,78,76,79,75,75,76,77,80
262,,Undefined,Frankie Orrico,AUDS A,13,698,77.6,80,79,79,75,74,79,77,80,75
262,,Undefined,Amrit Agastia,Taylor's A,15,698,77.6,74,77,77,76,79,80,83,79,73
262,,Undefined,Virat Chopra,NTU A,15,698,77.6,79,79,77,75,76,80,75,82,75
262,,Undefined,John Macy,Alaska C,13,698,77.6,79,79,75,80,74,75,77,81,78
262,,Undefined,Emma Kinakin,UVic A,14,698,77.6,80,82,76,78,77,74,80,75,76
262,39,Undefined,Xinyue Wei,BLCU A,15,698,77.6,75,77,75,78,77,74,81,77,84
262,,Undefined,Naz Gocek,Stanford C,16,698,77.6,80,76,78,77,73,75,78,81,80
262,,Undefined,Parveen Kaur,SMU A,16,698,77.6,78,77,79,77,76,76,75,78,82
262,39,Undefined,Eric Onuoha,APU A,17,698,77.6,75,76,77,75,74,79,79,82,81
262,,Undefined,Kiana Saint-Macary,McGill A,17,698,77.6,75,80,77,79,74,76,78,78,81
262,,Undefined,Marina Shew,Clemson B,16,698,77.6,77,78,79,74,77,76,79,78,80
262,,Undefined,Emma Rose Wirshing,Cornell C,14,698,77.6,73,80,82,78,77,80,76,75,77
275,,Undefined,Freddie Marshall,Warwick A,15,697,77.4,77,80,77,78,77,78,76,81,73
275,,Undefined,Jordan Pfotenhauer,UCT B,15,697,77.4,81,76,73,74,76,82,75,79,81
275,41,Undefined,Gabriel Charlotte Wajong,Indonesia A,15,697,77.4,77,77,76,79,76,76,79,80,77
